TransactionID,Date,AccountID,CustomerID,ProductID,TransactionType,TransactionChannel,Amount,Status
TXN000126,2025-10-13,ACC00024,CUST00580,PRD011,Credit,POS,100403.92,Success
TXN000127,2025-09-29,ACC00224,CUST00061,PRD013,Debit,Mobile App,39358.57,Success
TXN000128,2023-12-28,ACC00880,CUST00161,PRD009,Credit,Mobile App,294972.8,Success
TXN000129,2025-08-31,ACC00158,CUST00633,PRD008,Debit,UPI,779.72,Success
TXN000130,2025-09-14,ACC00326,CUST00025,PRD003,Credit,UPI,396206.15,Success
TXN000131,2024-04-15,ACC00799,CUST00609,PRD009,Credit,Mobile App,143338.75,Success
TXN000132,2025-08-25,ACC00806,CUST00687,PRD002,Debit,Mobile App,18500.28,Success
TXN000133,2025-10-26,ACC00293,CUST00795,PRD016,Debit,UPI,19584.94,Success
TXN000134,2025-11-23,ACC00720,CUST00538,PRD009,Credit,UPI,35883.45,Success
TXN000135,2024-06-01,ACC00912,CUST00738,PRD013,Debit,POS,41175.33,Success
TXN000136,2025-08-22,ACC00225,CUST00708,PRD012,Debit,Net Banking,19466.77,Success
TXN000137,2025-11-07,ACC00618,CUST00455,PRD012,Debit,Net Banking,29098.99,Success
TXN000138,2025-10-23,ACC00414,CUST00616,PRD016,Debit,UPI,20506.32,Success
TXN000139,2024-01-13,ACC00721,CUST00536,PRD006,Credit,Mobile App,11959.03,Success
TXN000140,2025-06-01,ACC00182,CUST00273,PRD015,Debit,Branch,17119.4,Success
TXN000141,2025-09-27,ACC00998,CUST00095,PRD012,Credit,UPI,22019.35,Success
TXN000142,2025-08-26,ACC00550,CUST00236,PRD006,Credit,Net Banking,7960.65,Success
TXN000143,2025-09-05,ACC00788,CUST00557,PRD016,Debit,POS,13329.2,Success
TXN000144,2025-10-29,ACC00805,CUST00160,PRD001,Credit,ATM,16336.44,Success
TXN000145,2025-05-14,ACC00093,CUST00117,PRD005,Credit,UPI,6458.06,Success
TXN000146,2024-05-19,ACC00288,CUST00421,PRD014,Debit,Mobile App,12468.95,Success
TXN000147,2025-04-24,ACC00514,CUST00663,PRD015,Debit,Net Banking,16975.18,Success
TXN000148,2024-07-24,ACC00045,CUST00667,PRD007,Debit,UPI,311.06,Success
TXN000149,2025-12-21,ACC00333,CUST00100,PRD015,Credit,Mobile App,17168.94,Success
TXN000150,2024-12-17,ACC00677,CUST00105,PRD015,Credit,Net Banking,947.64,Success
TXN000151,2025-08-10,ACC00968,CUST00704,PRD003,Debit,UPI,449104.14,Success
TXN000152,2025-10-04,ACC00539,CUST00443,PRD002,Credit,Mobile App,23949.1,Success
TXN000153,2025-10-15,ACC00271,CUST00567,PRD016,Credit,Mobile App,19120.06,Success
TXN000154,2025-10-10,ACC00610,CUST00349,PRD010,Debit,ATM,73205.64,Success
TXN000155,2023-02-12,ACC00135,CUST00047,PRD009,Credit,UPI,56342.8,Success
TXN000156,2025-11-29,ACC00100,CUST00418,PRD004,Credit,POS,17336.32,Success
TXN000157,2024-11-14,ACC00885,CUST00282,PRD016,Debit,Net Banking,19540.21,Success
TXN000158,2023-10-05,ACC00435,CUST00247,PRD014,Credit,UPI,49799.95,Success
TXN000159,2024-11-30,ACC00190,CUST00687,PRD004,Credit,ATM,1828.02,Success
TXN000160,2024-03-27,ACC00699,CUST00715,PRD012,Debit,UPI,32451.42,Success
TXN000161,2025-10-17,ACC00828,CUST00284,PRD016,Credit,Mobile App,15387.76,Success
TXN000162,2025-11-12,ACC00285,CUST00090,PRD016,Credit,Mobile App,968.04,Success
TXN000163,2024-03-13,ACC00901,CUST00108,PRD012,Credit,Net Banking,1428.86,Success
TXN000164,2023-08-01,ACC00541,CUST00551,PRD005,Debit,Net Banking,1042.11,Success
TXN000165,2024-12-13,ACC00839,CUST00771,PRD011,Credit,UPI,207838.58,Success
TXN000166,2024-12-21,ACC00347,CUST00615,PRD005,Credit,Net Banking,12005.67,Success
TXN000167,2023-08-18,ACC00357,CUST00545,PRD006,Credit,Net Banking,1845.48,Success
TXN000168,2023-10-30,ACC00675,CUST00410,PRD007,Credit,UPI,19517.76,Success
TXN000169,2025-02-14,ACC00172,CUST00649,PRD014,Credit,Mobile App,17005.27,Failed
TXN000170,2025-09-12,ACC00486,CUST00315,PRD003,Credit,UPI,330595.72,Failed
TXN000171,2025-06-26,ACC00620,CUST00135,PRD014,Credit,ATM,42138.49,Success
TXN000172,2023-02-15,ACC00272,CUST00129,PRD015,Debit,UPI,13906.44,Success
TXN000173,2025-11-06,ACC00401,CUST00368,PRD008,Debit,Net Banking,9813.61,Success
TXN000174,2024-06-04,ACC00123,CUST00056,PRD016,Credit,Net Banking,22141.83,Success
TXN000175,2024-10-14,ACC00499,CUST00581,PRD016,Credit,UPI,731.58,Success
TXN000176,2023-12-25,ACC00482,CUST00692,PRD006,Debit,UPI,19839.21,Success
TXN000177,2023-06-10,ACC00833,CUST00285,PRD010,Debit,Mobile App,409653.48,Failed
TXN000178,2023-05-30,ACC00135,CUST00047,PRD004,Debit,UPI,8509.19,Success
TXN000179,2023-11-24,ACC00936,CUST00111,PRD007,Debit,Mobile App,16380.86,Success
TXN000180,2025-01-21,ACC00369,CUST00577,PRD015,Debit,Branch,13460.38,Success
TXN000181,2025-10-30,ACC00637,CUST00004,PRD005,Debit,UPI,18412.95,Success
TXN000182,2025-12-28,ACC00996,CUST00670,PRD015,Credit,UPI,15497.46,Success
TXN000183,2025-08-06,ACC00491,CUST00637,PRD014,Credit,Mobile App,31816.74,Success
TXN000184,2024-05-22,ACC00004,CUST00299,PRD014,Debit,ATM,30755.68,Success
TXN000185,2024-12-06,ACC00739,CUST00685,PRD009,Debit,UPI,74806.25,Success
TXN000186,2025-03-16,ACC00925,CUST00436,PRD002,Debit,Mobile App,5145.76,Success
TXN000187,2025-10-28,ACC00079,CUST00380,PRD007,Credit,ATM,10110.01,Success
TXN000188,2023-05-18,ACC00325,CUST00190,PRD006,Credit,Net Banking,8107.59,Success
TXN000189,2024-07-27,ACC00706,CUST00723,PRD005,Debit,UPI,4418.85,Success
TXN000190,2025-12-29,ACC00510,CUST00077,PRD005,Credit,UPI,4284.47,Success
TXN000191,2025-10-18,ACC00714,CUST00442,PRD013,Credit,UPI,29308.3,Success
TXN000192,2025-06-26,ACC00910,CUST00613,PRD014,Credit,Net Banking,19118.49,Success
TXN000193,2025-08-24,ACC00799,CUST00609,PRD010,Credit,ATM,23467.52,Success
TXN000194,2025-11-21,ACC00293,CUST00795,PRD003,Debit,Net Banking,156191.14,Success
TXN000195,2023-07-31,ACC00895,CUST00687,PRD013,Debit,Net Banking,6781.17,Success
TXN000196,2025-01-24,ACC00783,CUST00422,PRD012,Credit,UPI,12343.06,Success
TXN000197,2024-11-03,ACC00605,CUST00109,PRD004,Credit,Net Banking,17958.25,Success
TXN000198,2024-02-18,ACC00384,CUST00622,PRD016,Debit,UPI,7599.87,Success
TXN000199,2025-12-10,ACC00639,CUST00336,PRD004,Credit,Mobile App,24666.43,Success
TXN000200,2025-06-30,ACC00285,CUST00090,PRD010,Debit,Mobile App,493655.42,Success
TXN000201,2024-04-24,ACC00226,CUST00473,PRD004,Debit,Mobile App,5281.91,Success
TXN000202,2025-10-21,ACC00356,CUST00094,PRD012,Credit,UPI,42267.19,Success
TXN000203,2025-02-02,ACC00649,CUST00760,PRD001,Debit,Mobile App,23074.56,Success
TXN000204,2025-09-02,ACC00281,CUST00004,PRD005,Credit,UPI,6359.41,Success
TXN000205,2023-09-30,ACC00387,CUST00590,PRD004,Debit,ATM,2700.09,Success
TXN000206,2025-01-02,ACC00823,CUST00300,PRD013,Credit,Mobile App,1938.73,Success
TXN000207,2025-03-12,ACC00819,CUST00207,PRD001,Debit,UPI,11176.04,Success
TXN000208,2025-06-13,ACC00370,CUST00224,PRD002,Debit,Mobile App,22469.48,Success
TXN000209,2025-10-22,ACC00931,CUST00697,PRD002,Credit,UPI,6004.25,Success
TXN000210,2024-04-01,ACC00541,CUST00551,PRD016,Credit,UPI,1930.89,Success
TXN000211,2025-09-04,ACC00740,CUST00160,PRD006,Debit,UPI,5482.51,Success
TXN000212,2023-03-17,ACC00798,CUST00576,PRD011,Debit,UPI,239715.29,Success
TXN000213,2025-09-29,ACC00023,CUST00746,PRD009,Credit,UPI,181227.84,Success
TXN000214,2023-11-20,ACC00037,CUST00682,PRD005,Credit,Mobile App,2866.62,Success
TXN000215,2023-12-29,ACC00263,CUST00399,PRD006,Debit,Mobile App,5574.35,Success
TXN000216,2024-02-06,ACC00120,CUST00124,PRD012,Credit,UPI,47661.63,Success
TXN000217,2025-11-17,ACC00058,CUST00434,PRD009,Debit,Mobile App,130257.1,Success
TXN000218,2025-02-28,ACC00851,CUST00408,PRD007,Credit,Mobile App,5489.42,Success
TXN000219,2025-05-29,ACC00586,CUST00279,PRD003,Credit,Mobile App,225492.98,Success
TXN000220,2024-12-29,ACC00255,CUST00643,PRD002,Debit,UPI,5637.92,Success
TXN000221,2024-12-23,ACC00162,CUST00788,PRD013,Debit,Branch,44963.46,Success
TXN000222,2025-08-02,ACC00904,CUST00614,PRD015,Credit,UPI,18363.56,Failed
TXN000223,2025-04-29,ACC00213,CUST00044,PRD002,Credit,Mobile App,20261.94,Success
TXN000224,2025-07-17,ACC00386,CUST00751,PRD014,Debit,UPI,4613.03,Success
TXN000225,2025-08-08,ACC00486,CUST00315,PRD002,Debit,Net Banking,5528.36,Success
TXN000226,2025-03-15,ACC00994,CUST00677,PRD002,Credit,UPI,496.66,Failed
TXN000227,2024-02-26,ACC00960,CUST00233,PRD009,Debit,UPI,293782.78,Success
TXN000228,2024-09-19,ACC00501,CUST00051,PRD010,Debit,POS,86539.48,Success
TXN000229,2024-07-27,ACC00559,CUST00736,PRD016,Debit,UPI,15707.59,Success
TXN000230,2025-11-29,ACC00875,CUST00202,PRD009,Debit,UPI,204742.05,Success
TXN000231,2025-02-07,ACC00717,CUST00212,PRD015,Debit,Mobile App,18846.91,Success
TXN000232,2025-12-03,ACC00293,CUST00795,PRD011,Debit,Mobile App,119430.28,Success
TXN000233,2025-11-15,ACC00859,CUST00391,PRD001,Debit,Mobile App,23312.86,Success
TXN000234,2024-10-17,ACC00634,CUST00676,PRD009,Credit,Branch,44750.04,Success
TXN000235,2023-05-01,ACC00226,CUST00473,PRD015,Credit,Mobile App,9224.18,Success
TXN000236,2025-06-09,ACC00209,CUST00677,PRD002,Debit,Net Banking,19362.03,Success
TXN000237,2024-03-13,ACC00599,CUST00252,PRD002,Credit,UPI,16261.06,Success
TXN000238,2025-07-03,ACC00022,CUST00040,PRD012,Debit,Net Banking,35290.76,Success
TXN000239,2025-01-21,ACC00831,CUST00070,PRD013,Debit,Net Banking,44947.69,Success
TXN000240,2025-11-20,ACC00551,CUST00114,PRD012,Credit,Mobile App,18954.28,Success
TXN000241,2025-01-25,ACC00413,CUST00418,PRD009,Credit,Mobile App,245678.65,Success
TXN000242,2024-12-28,ACC00170,CUST00799,PRD009,Debit,ATM,236949.62,Success
TXN000243,2025-07-22,ACC00871,CUST00439,PRD012,Credit,Net Banking,48915.18,Success
TXN000244,2025-10-14,ACC00052,CUST00351,PRD013,Debit,UPI,4821.78,Success
TXN000245,2024-06-19,ACC00978,CUST00172,PRD011,Credit,UPI,56934.71,Failed
TXN000246,2024-01-05,ACC00596,CUST00514,PRD007,Credit,UPI,3847.4,Success
TXN000247,2025-04-06,ACC00674,CUST00392,PRD006,Credit,POS,10471.76,Success
TXN000248,2025-01-20,ACC00989,CUST00019,PRD007,Debit,Branch,10561.24,Success
TXN000249,2025-03-17,ACC00469,CUST00637,PRD007,Debit,UPI,648.71,Success
TXN000250,2025-07-21,ACC00266,CUST00754,PRD014,Debit,ATM,17125.93,Success
TXN000251,2023-01-01,ACC00527,CUST00490,PRD004,Debit,Net Banking,12205.09,Success
TXN000252,2025-07-05,ACC00644,CUST00057,PRD001,Debit,Mobile App,11504.38,Success
TXN000253,2025-10-26,ACC00293,CUST00795,PRD013,Debit,ATM,39568.75,Success
TXN000254,2023-11-20,ACC00077,CUST00474,PRD003,Credit,UPI,425846.58,Success
TXN000255,2024-10-10,ACC00166,CUST00152,PRD014,Credit,UPI,31122.2,Failed
TXN000256,2025-07-15,ACC00476,CUST00142,PRD009,Credit,Mobile App,104172.49,Success
TXN000257,2025-09-01,ACC00290,CUST00522,PRD011,Debit,Branch,97402.26,Success
TXN000258,2023-04-03,ACC00657,CUST00182,PRD008,Credit,POS,11078.13,Success
TXN000259,2025-08-24,ACC00567,CUST00055,PRD009,Credit,UPI,339465.58,Success
TXN000260,2024-05-02,ACC00576,CUST00324,PRD012,Debit,UPI,48785.55,Success
TXN000261,2025-04-25,ACC00166,CUST00152,PRD004,Debit,UPI,23283.62,Success
TXN000262,2025-11-13,ACC00466,CUST00616,PRD001,Debit,Branch,3985.73,Success
TXN000263,2025-01-23,ACC00289,CUST00704,PRD004,Debit,Mobile App,16216.37,Success
TXN000264,2024-02-09,ACC00957,CUST00692,PRD004,Credit,ATM,18878.63,Failed
TXN000265,2025-06-14,ACC00366,CUST00554,PRD010,Debit,Net Banking,369701.02,Success
TXN000266,2025-09-02,ACC00351,CUST00298,PRD009,Debit,UPI,249910.99,Success
TXN000267,2023-10-19,ACC00368,CUST00416,PRD007,Credit,Net Banking,717.41,Success
TXN000268,2025-04-10,ACC00328,CUST00349,PRD012,Debit,UPI,16655.14,Success
TXN000269,2025-07-07,ACC00091,CUST00677,PRD009,Debit,UPI,395016.01,Success
TXN000270,2024-12-15,ACC00075,CUST00114,PRD016,Debit,UPI,21251.34,Success
TXN000271,2025-09-10,ACC00567,CUST00055,PRD012,Debit,POS,20023.97,Failed
TXN000272,2025-12-05,ACC00605,CUST00109,PRD001,Credit,Mobile App,1495.59,Success
TXN000273,2023-09-22,ACC00941,CUST00184,PRD006,Debit,UPI,10748.25,Success
TXN000274,2025-03-05,ACC00204,CUST00426,PRD002,Credit,UPI,7771.33,Success
TXN000275,2024-08-05,ACC00964,CUST00779,PRD013,Credit,Mobile App,44446.34,Success
TXN000276,2023-07-27,ACC00435,CUST00247,PRD012,Debit,Mobile App,8607.62,Success
TXN000277,2024-10-17,ACC00667,CUST00357,PRD012,Debit,ATM,21002.59,Success
TXN000278,2024-04-25,ACC00144,CUST00346,PRD014,Debit,Mobile App,15509.94,Success
TXN000279,2025-09-22,ACC00444,CUST00677,PRD005,Debit,Mobile App,23335.51,Success
TXN000280,2025-07-14,ACC00085,CUST00676,PRD009,Debit,UPI,326626.88,Success
TXN000281,2025-03-31,ACC00709,CUST00462,PRD009,Credit,UPI,292599.84,Success
TXN000282,2024-09-03,ACC00890,CUST00785,PRD006,Debit,UPI,7307.63,Success
TXN000283,2024-02-12,ACC00910,CUST00613,PRD003,Credit,ATM,300899.96,Success
TXN000284,2025-02-14,ACC00345,CUST00747,PRD011,Credit,Net Banking,399785.38,Success
TXN000285,2024-09-09,ACC00294,CUST00668,PRD001,Credit,UPI,15950.36,Success
TXN000286,2025-03-28,ACC00987,CUST00749,PRD010,Credit,Net Banking,106098.71,Success
TXN000287,2025-10-12,ACC00093,CUST00117,PRD011,Debit,Mobile App,387064.81,Success
TXN000288,2025-10-23,ACC00664,CUST00098,PRD005,Debit,POS,9107.81,Success
TXN000289,2024-12-31,ACC00694,CUST00550,PRD004,Credit,Mobile App,17179.23,Success
TXN000290,2025-04-26,ACC00342,CUST00729,PRD010,Debit,ATM,371819.49,Success
TXN000291,2023-09-29,ACC00229,CUST00333,PRD012,Credit,UPI,7733.79,Success
TXN000292,2024-06-13,ACC00066,CUST00211,PRD007,Debit,Net Banking,1416.92,Success
TXN000293,2023-06-23,ACC00490,CUST00050,PRD005,Credit,Mobile App,1313.0,Failed
TXN000294,2025-12-30,ACC00439,CUST00097,PRD006,Credit,Mobile App,4925.99,Success
TXN000295,2024-04-30,ACC00179,CUST00017,PRD002,Debit,Net Banking,4261.68,Success
TXN000296,2025-01-22,ACC00359,CUST00610,PRD005,Credit,UPI,20016.94,Success
TXN000297,2025-09-02,ACC00584,CUST00781,PRD004,Credit,Net Banking,13407.07,Success
