AccountID,CustomerID,AccountType,Branch,Status,OpenDate,CloseDate
ACC00049,CUST00574,Salary,Patna Branch,Open,2025-06-19,
ACC00050,CUST00661,Salary,Indore Branch,Open,2024-12-22,
ACC00051,CUST00766,Savings,Bengaluru Branch,Closed,2024-11-09,2025-01-16
ACC00052,CUST00351,Salary,Raipur Branch,Open,2025-07-03,
ACC00053,CUST00354,Current,Hyderabad Branch,Closed,2024-03-27,2025-06-13
ACC00054,CUST00407,Current,Nagpur Branch,Open,2024-10-22,
ACC00055,CUST00527,NRI,Chennai Branch,Open,2025-01-14,
ACC00056,CUST00566,Current,Lucknow Branch,Open,2024-02-18,
ACC00057,CUST00078,Savings,Indore Branch,Open,2023-02-24,
ACC00058,CUST00434,Current,Raipur Branch,Open,2025-11-17,
ACC00059,CUST00701,NRI,Indore Branch,Open,2025-03-30,
ACC00060,CUST00362,Current,Raipur Branch,Open,2023-11-15,
ACC00061,CUST00510,Salary,Hyderabad Branch,Open,2024-06-18,
ACC00062,CUST00204,Salary,Hyderabad Branch,Open,2024-07-13,
ACC00063,CUST00599,Current,Bengaluru Branch,Open,2023-07-17,
ACC00064,CUST00629,Current,Guwahati Branch,Open,2023-08-10,
ACC00065,CUST00054,Salary,Delhi Branch,Open,2025-08-02,
ACC00066,CUST00211,Salary,Hyderabad Branch,Closed,2024-06-12,2024-06-17
ACC00067,CUST00446,NRI,Kochi Branch,Open,2025-04-27,
ACC00068,CUST00367,Salary,Patna Branch,Open,2023-07-28,
ACC00069,CUST00587,Current,Chennai Branch,Open,2025-06-09,
ACC00070,CUST00766,NRI,Bengaluru Branch,Closed,2024-04-20,2024-09-23
ACC00071,CUST00189,NRI,Nagpur Branch,Open,2024-11-26,
ACC00072,CUST00736,Current,Delhi Branch,Open,2022-11-10,
ACC00073,CUST00615,Salary,Pune Branch,Open,2025-11-08,
ACC00074,CUST00135,Current,Chennai Branch,Open,2024-12-10,
ACC00075,CUST00114,Salary,Ahmedabad Branch,Open,2024-07-02,
ACC00076,CUST00788,Savings,Bengaluru Branch,Open,2023-05-21,
ACC00077,CUST00474,NRI,Chandigarh Branch,Closed,2023-03-29,2023-12-08
ACC00078,CUST00399,Savings,Mumbai Branch,Closed,2023-09-21,2025-04-06
ACC00079,CUST00380,Salary,Hyderabad Branch,Open,2025-03-03,
ACC00080,CUST00627,Current,Chandigarh Branch,Closed,2024-07-27,2024-09-18
ACC00081,CUST00425,Savings,Hyderabad Branch,Open,2023-11-27,
ACC00082,CUST00244,Current,Surat Branch,Closed,2023-10-20,2025-08-27
ACC00083,CUST00091,Savings,Jaipur Branch,Open,2024-11-17,
ACC00084,CUST00692,Salary,Kochi Branch,Open,2023-12-29,
ACC00085,CUST00676,Savings,Chandigarh Branch,Open,2025-06-08,
ACC00086,CUST00232,Salary,Bhopal Branch,Open,2024-04-29,
ACC00087,CUST00517,Salary,Raipur Branch,Open,2021-05-09,
ACC00088,CUST00236,Savings,Surat Branch,Open,2024-07-19,
ACC00089,CUST00390,Savings,Chennai Branch,Open,2025-11-20,
ACC00090,CUST00503,Savings,Nagpur Branch,Open,2024-12-31,
ACC00091,CUST00677,NRI,Patna Branch,Open,2025-06-24,
ACC00092,CUST00137,NRI,Guwahati Branch,Closed,2023-05-15,2025-03-28
ACC00093,CUST00117,NRI,Guwahati Branch,Open,2025-05-07,
ACC00094,CUST00370,NRI,Hyderabad Branch,Open,2021-11-29,
ACC00095,CUST00190,NRI,Chennai Branch,Open,2020-06-25,
ACC00096,CUST00634,Current,Ahmedabad Branch,Open,2025-02-27,
ACC00097,CUST00096,Savings,Hyderabad Branch,Open,2025-04-06,
ACC00098,CUST00241,Savings,Hyderabad Branch,Open,2025-09-12,
ACC00099,CUST00716,Salary,Bhubaneswar Branch,Open,2024-09-09,
ACC00100,CUST00418,Savings,Chennai Branch,Open,2024-08-09,
ACC00101,CUST00359,Current,Raipur Branch,Open,2023-10-17,
ACC00102,CUST00058,Current,Guwahati Branch,Closed,2023-10-26,2025-05-22
ACC00103,CUST00313,Savings,Patna Branch,Open,2024-06-28,
ACC00104,CUST00314,NRI,Delhi Branch,Open,2025-11-25,
ACC00105,CUST00419,NRI,Hyderabad Branch,Open,2025-02-15,
ACC00106,CUST00342,Current,Patna Branch,Closed,2022-09-23,2023-12-30
ACC00107,CUST00697,NRI,Indore Branch,Open,2023-11-24,
ACC00108,CUST00461,Savings,Nagpur Branch,Open,2025-05-07,
ACC00109,CUST00707,Current,Lucknow Branch,Open,2023-01-26,
ACC00110,CUST00024,Salary,Bhopal Branch,Open,2022-03-02,
ACC00111,CUST00272,Salary,Mumbai Branch,Open,2024-07-04,
ACC00112,CUST00425,Savings,Hyderabad Branch,Open,2022-09-18,
ACC00113,CUST00602,NRI,Jaipur Branch,Open,2023-09-02,
ACC00114,CUST00513,Salary,Chennai Branch,Open,2025-07-23,
ACC00115,CUST00048,Savings,Lucknow Branch,Open,2025-06-30,
ACC00116,CUST00660,NRI,Indore Branch,Open,2024-05-15,
ACC00117,CUST00196,Savings,Bhubaneswar Branch,Open,2024-02-19,
ACC00118,CUST00549,Salary,Bhopal Branch,Open,2025-04-09,
ACC00119,CUST00780,NRI,Kochi Branch,Closed,2025-04-07,2025-11-27
ACC00120,CUST00124,Salary,Bhubaneswar Branch,Open,2021-04-30,
ACC00121,CUST00369,NRI,Chennai Branch,Open,2020-01-07,
ACC00122,CUST00099,Salary,Jaipur Branch,Open,2022-10-13,
ACC00123,CUST00056,NRI,Pune Branch,Open,2022-09-01,
ACC00124,CUST00195,NRI,Chennai Branch,Open,2024-09-23,
ACC00125,CUST00308,NRI,Indore Branch,Open,2024-08-04,
ACC00126,CUST00180,NRI,Bengaluru Branch,Open,2022-07-24,
ACC00127,CUST00575,Current,Patna Branch,Open,2023-12-20,
ACC00128,CUST00711,Savings,Delhi Branch,Open,2022-04-06,
ACC00129,CUST00635,Savings,Kochi Branch,Open,2022-09-25,
ACC00130,CUST00671,Salary,Bhubaneswar Branch,Open,2021-11-22,
ACC00131,CUST00196,NRI,Bhubaneswar Branch,Open,2024-12-28,
ACC00132,CUST00199,Current,Bengaluru Branch,Closed,2023-03-28,2025-05-31
ACC00133,CUST00521,NRI,Indore Branch,Open,2022-08-13,
ACC00134,CUST00290,NRI,Bhopal Branch,Open,2021-07-01,
ACC00135,CUST00047,NRI,Ahmedabad Branch,Closed,2023-01-04,2025-07-21
ACC00136,CUST00093,Current,Kolkata Branch,Open,2023-08-22,
ACC00137,CUST00132,Savings,Indore Branch,Open,2025-07-06,
ACC00138,CUST00786,Savings,Chennai Branch,Open,2025-01-20,
ACC00139,CUST00611,Current,Chandigarh Branch,Open,2025-10-13,
ACC00140,CUST00754,NRI,Kolkata Branch,Open,2021-03-04,
ACC00141,CUST00622,Current,Hyderabad Branch,Open,2025-06-22,
ACC00142,CUST00542,Current,Surat Branch,Closed,2024-04-24,2025-10-10
ACC00143,CUST00127,NRI,Nagpur Branch,Open,2021-12-13,
ACC00144,CUST00346,NRI,Kolkata Branch,Open,2023-10-05,
ACC00145,CUST00292,Current,Hyderabad Branch,Open,2023-03-13,
ACC00146,CUST00507,Salary,Bengaluru Branch,Open,2024-12-08,
ACC00147,CUST00100,Savings,Pune Branch,Open,2023-06-16,
ACC00148,CUST00312,NRI,Ahmedabad Branch,Open,2024-01-12,
ACC00149,CUST00531,Salary,Bengaluru Branch,Open,2024-09-03,
ACC00150,CUST00524,Savings,Bhopal Branch,Open,2025-01-06,
ACC00151,CUST00662,NRI,Surat Branch,Open,2025-07-26,
ACC00152,CUST00740,Current,Raipur Branch,Open,2025-01-29,
ACC00153,CUST00638,Savings,Raipur Branch,Open,2024-12-15,
ACC00154,CUST00315,Savings,Surat Branch,Closed,2025-01-10,2025-10-13
ACC00155,CUST00604,Salary,Pune Branch,Open,2022-06-10,
ACC00156,CUST00568,Salary,Surat Branch,Closed,2024-02-29,2024-06-26
ACC00157,CUST00045,NRI,Bhopal Branch,Open,2025-02-27,
ACC00158,CUST00633,NRI,Delhi Branch,Open,2023-11-15,
ACC00159,CUST00271,Salary,Indore Branch,Open,2022-02-02,
ACC00160,CUST00708,NRI,Raipur Branch,Open,2025-04-08,
ACC00161,CUST00079,Salary,Hyderabad Branch,Open,2023-01-26,
ACC00162,CUST00788,Savings,Bengaluru Branch,Open,2024-12-16,
ACC00163,CUST00620,Salary,Bengaluru Branch,Open,2023-11-19,
ACC00164,CUST00696,Savings,Chandigarh Branch,Closed,2024-12-28,2025-01-29
ACC00165,CUST00229,Salary,Delhi Branch,Open,2024-02-18,
ACC00166,CUST00152,NRI,Chennai Branch,Open,2024-06-15,
ACC00167,CUST00538,Savings,Chennai Branch,Closed,2024-05-14,2025-12-10
ACC00168,CUST00547,Current,Raipur Branch,Closed,2023-12-11,2024-01-08
ACC00169,CUST00548,NRI,Ahmedabad Branch,Open,2024-03-12,
ACC00170,CUST00799,Salary,Surat Branch,Open,2024-01-16,
ACC00171,CUST00380,NRI,Hyderabad Branch,Open,2021-09-25,
ACC00172,CUST00649,Savings,Chennai Branch,Open,2025-01-02,
ACC00173,CUST00428,Current,Raipur Branch,Open,2024-10-24,
ACC00174,CUST00141,NRI,Ahmedabad Branch,Closed,2022-10-10,2024-12-15
ACC00175,CUST00744,Salary,Chandigarh Branch,Open,2024-02-17,
ACC00176,CUST00642,Current,Bengaluru Branch,Open,2024-02-05,
ACC00177,CUST00727,NRI,Bengaluru Branch,Open,2024-02-28,
ACC00178,CUST00050,Savings,Surat Branch,Open,2022-02-07,
ACC00179,CUST00017,Current,Ahmedabad Branch,Open,2021-04-16,
ACC00180,CUST00527,Current,Chennai Branch,Open,2025-01-12,
ACC00181,CUST00029,Savings,Nagpur Branch,Open,2025-03-21,
ACC00182,CUST00273,Current,Kochi Branch,Closed,2024-05-31,2025-09-20
ACC00183,CUST00338,NRI,Nagpur Branch,Open,2023-07-30,
ACC00184,CUST00009,Savings,Surat Branch,Open,2021-05-06,
ACC00185,CUST00715,Current,Kolkata Branch,Open,2024-04-20,
ACC00186,CUST00093,NRI,Kolkata Branch,Open,2024-03-07,
ACC00187,CUST00048,NRI,Lucknow Branch,Open,2022-12-08,
ACC00188,CUST00772,Salary,Delhi Branch,Open,2025-08-12,
ACC00189,CUST00080,Salary,Nagpur Branch,Open,2025-11-19,
ACC00190,CUST00687,Savings,Jaipur Branch,Open,2022-09-10,
ACC00191,CUST00148,NRI,Raipur Branch,Open,2025-04-02,
ACC00192,CUST00660,Current,Indore Branch,Open,2022-11-24,
ACC00193,CUST00503,Current,Nagpur Branch,Closed,2023-11-05,2025-11-20
ACC00194,CUST00798,Salary,Lucknow Branch,Open,2025-10-13,
ACC00195,CUST00437,Savings,Chandigarh Branch,Open,2021-12-14,
ACC00196,CUST00519,Savings,Surat Branch,Closed,2024-10-24,2025-09-03
ACC00197,CUST00525,Current,Jaipur Branch,Open,2024-06-09,
ACC00198,CUST00711,Savings,Delhi Branch,Open,2024-06-15,
ACC00199,CUST00415,Salary,Pune Branch,Open,2025-01-21,
ACC00200,CUST00506,Salary,Bhubaneswar Branch,Open,2021-11-22,
ACC00201,CUST00521,NRI,Indore Branch,Open,2022-10-15,
ACC00202,CUST00025,NRI,Kochi Branch,Closed,2025-07-14,2025-07-20
ACC00203,CUST00441,NRI,Lucknow Branch,Open,2025-09-04,
ACC00204,CUST00426,NRI,Raipur Branch,Open,2021-03-03,
ACC00205,CUST00415,Savings,Pune Branch,Open,2024-12-11,
ACC00206,CUST00459,Salary,Bengaluru Branch,Open,2020-12-23,
ACC00207,CUST00554,Salary,Chennai Branch,Open,2025-11-28,
ACC00208,CUST00451,Savings,Nagpur Branch,Open,2024-05-05,
ACC00209,CUST00677,Salary,Patna Branch,Open,2024-10-28,
ACC00210,CUST00479,Salary,Kolkata Branch,Closed,2024-11-27,2025-08-29
ACC00211,CUST00360,Salary,Bhopal Branch,Closed,2023-11-23,2024-09-10
ACC00212,CUST00151,Salary,Jaipur Branch,Open,2025-05-11,
ACC00213,CUST00044,Current,Chandigarh Branch,Open,2022-09-12,
ACC00214,CUST00617,NRI,Jaipur Branch,Closed,2021-08-11,2024-08-29
ACC00215,CUST00621,Current,Indore Branch,Open,2025-03-23,
ACC00216,CUST00631,NRI,Ahmedabad Branch,Open,2022-12-20,
ACC00217,CUST00470,Salary,Lucknow Branch,Closed,2025-05-14,2025-10-14
ACC00218,CUST00475,NRI,Kolkata Branch,Closed,2021-07-30,2024-04-03
ACC00219,CUST00335,Savings,Chennai Branch,Open,2021-02-13,
ACC00220,CUST00676,Current,Chandigarh Branch,Open,2025-09-16,
ACC00221,CUST00737,Current,Delhi Branch,Open,2023-12-04,
ACC00222,CUST00235,NRI,Guwahati Branch,Open,2024-01-11,
ACC00223,CUST00124,Salary,Bhubaneswar Branch,Closed,2020-12-21,2021-07-18
ACC00224,CUST00061,Current,Delhi Branch,Open,2024-10-13,
ACC00225,CUST00708,Current,Raipur Branch,Open,2023-09-28,
ACC00226,CUST00473,NRI,Chandigarh Branch,Open,2022-07-24,
ACC00227,CUST00679,Salary,Lucknow Branch,Open,2022-03-10,
ACC00228,CUST00519,Current,Surat Branch,Open,2025-03-27,
ACC00229,CUST00333,Salary,Nagpur Branch,Closed,2022-02-15,2024-11-06
ACC00230,CUST00154,Current,Surat Branch,Open,2021-12-23,
ACC00231,CUST00477,Salary,Jaipur Branch,Open,2020-04-13,
ACC00232,CUST00076,Salary,Raipur Branch,Open,2024-10-05,
ACC00233,CUST00161,Salary,Patna Branch,Open,2022-02-24,
ACC00234,CUST00576,Savings,Kolkata Branch,Open,2025-07-06,
ACC00235,CUST00705,Savings,Lucknow Branch,Open,2022-02-09,
ACC00236,CUST00087,Current,Pune Branch,Open,2021-02-09,
ACC00237,CUST00649,NRI,Chennai Branch,Open,2025-06-23,
ACC00238,CUST00625,NRI,Kolkata Branch,Open,2025-04-26,
ACC00239,CUST00096,Current,Hyderabad Branch,Open,2024-11-05,
ACC00240,CUST00679,Current,Lucknow Branch,Open,2024-03-29,
ACC00241,CUST00527,NRI,Chennai Branch,Open,2024-09-12,
ACC00242,CUST00355,Current,Bhubaneswar Branch,Open,2022-01-26,
ACC00243,CUST00661,NRI,Indore Branch,Open,2024-10-20,
ACC00244,CUST00020,Current,Hyderabad Branch,Open,2025-06-29,
ACC00245,CUST00594,Savings,Pune Branch,Open,2023-03-31,
ACC00246,CUST00151,Salary,Jaipur Branch,Open,2024-12-31,
ACC00247,CUST00476,Current,Hyderabad Branch,Open,2020-08-29,
ACC00248,CUST00434,Current,Raipur Branch,Open,2025-11-26,
ACC00249,CUST00724,Savings,Bhubaneswar Branch,Open,2021-02-05,
ACC00250,CUST00600,NRI,Bhubaneswar Branch,Open,2022-08-01,
ACC00251,CUST00304,NRI,Hyderabad Branch,Open,2021-11-16,
ACC00252,CUST00761,NRI,Chennai Branch,Open,2025-01-26,
ACC00253,CUST00408,Savings,Kolkata Branch,Open,2022-12-06,
ACC00254,CUST00664,Salary,Hyderabad Branch,Open,2023-08-18,
ACC00255,CUST00643,Salary,Patna Branch,Closed,2024-12-07,2025-04-07
ACC00256,CUST00720,Current,Hyderabad Branch,Open,2025-03-22,
ACC00257,CUST00360,Savings,Bhopal Branch,Open,2022-10-11,
ACC00258,CUST00160,Current,Raipur Branch,Open,2025-08-31,
ACC00259,CUST00561,Salary,Kochi Branch,Open,2021-10-25,
ACC00260,CUST00057,Savings,Ahmedabad Branch,Open,2025-02-26,
ACC00261,CUST00154,Salary,Surat Branch,Open,2024-01-13,
ACC00262,CUST00712,Savings,Delhi Branch,Open,2023-08-31,
ACC00263,CUST00399,Salary,Mumbai Branch,Open,2023-04-11,
ACC00264,CUST00301,Salary,Bhubaneswar Branch,Open,2022-04-08,
ACC00265,CUST00292,Current,Hyderabad Branch,Open,2024-10-29,
ACC00266,CUST00754,NRI,Kolkata Branch,Open,2025-04-18,
ACC00267,CUST00317,Current,Surat Branch,Open,2019-11-06,
ACC00268,CUST00390,NRI,Chennai Branch,Open,2025-06-14,
ACC00269,CUST00367,Current,Patna Branch,Open,2020-06-25,
ACC00270,CUST00738,Current,Raipur Branch,Open,2023-01-03,
ACC00271,CUST00567,Savings,Raipur Branch,Open,2025-09-09,
ACC00272,CUST00129,Current,Bengaluru Branch,Open,2021-10-20,
ACC00273,CUST00161,Savings,Patna Branch,Open,2022-12-30,
ACC00274,CUST00372,Salary,Delhi Branch,Open,2024-11-30,
ACC00275,CUST00755,Savings,Patna Branch,Open,2025-06-25,
ACC00276,CUST00507,Savings,Bengaluru Branch,Open,2023-07-22,
ACC00277,CUST00034,Savings,Chennai Branch,Open,2025-07-03,
ACC00278,CUST00675,Savings,Hyderabad Branch,Open,2019-11-09,
ACC00279,CUST00268,NRI,Bengaluru Branch,Open,2025-05-11,
ACC00280,CUST00202,Salary,Kolkata Branch,Open,2023-10-07,
ACC00281,CUST00004,Current,Lucknow Branch,Open,2025-08-05,
ACC00282,CUST00130,Savings,Delhi Branch,Open,2021-07-03,
ACC00283,CUST00568,Savings,Surat Branch,Open,2023-02-21,
ACC00284,CUST00771,Salary,Chandigarh Branch,Open,2024-06-05,
ACC00285,CUST00090,Current,Jaipur Branch,Open,2025-01-08,
ACC00286,CUST00417,Savings,Indore Branch,Open,2024-06-29,
ACC00287,CUST00506,Savings,Bhubaneswar Branch,Open,2021-12-14,
ACC00288,CUST00421,Savings,Hyderabad Branch,Open,2022-01-30,
ACC00289,CUST00704,Current,Bhubaneswar Branch,Open,2024-05-25,
ACC00290,CUST00522,Current,Guwahati Branch,Open,2019-09-26,
ACC00291,CUST00146,NRI,Kochi Branch,Open,2025-04-22,
ACC00292,CUST00121,Savings,Jaipur Branch,Open,2025-09-04,
ACC00293,CUST00795,Current,Ahmedabad Branch,Open,2025-10-21,
ACC00294,CUST00668,NRI,Patna Branch,Open,2023-12-19,
ACC00295,CUST00452,Savings,Delhi Branch,Open,2025-07-12,
ACC00296,CUST00180,Savings,Bengaluru Branch,Open,2022-04-10,
ACC00297,CUST00297,NRI,Pune Branch,Closed,2022-11-28,2023-01-18
ACC00298,CUST00626,Savings,Nagpur Branch,Open,2020-12-14,
ACC00299,CUST00200,Savings,Chennai Branch,Open,2025-03-16,
ACC00300,CUST00176,Savings,Lucknow Branch,Open,2025-02-02,
ACC00301,CUST00260,Current,Raipur Branch,Closed,2025-05-06,2025-11-05
ACC00302,CUST00273,Salary,Kochi Branch,Open,2025-02-25,
ACC00303,CUST00269,Savings,Hyderabad Branch,Open,2024-10-06,
ACC00304,CUST00142,Current,Jaipur Branch,Open,2025-11-14,
ACC00305,CUST00643,Salary,Patna Branch,Closed,2024-04-12,2024-11-10
ACC00306,CUST00588,Salary,Surat Branch,Open,2024-11-24,
ACC00307,CUST00048,Savings,Lucknow Branch,Open,2024-07-26,
ACC00308,CUST00582,Savings,Ahmedabad Branch,Open,2021-05-25,
ACC00309,CUST00624,Current,Bhopal Branch,Open,2025-01-06,
ACC00310,CUST00431,Current,Delhi Branch,Open,2020-12-03,
ACC00311,CUST00362,NRI,Raipur Branch,Open,2022-02-15,
ACC00312,CUST00218,Salary,Bhubaneswar Branch,Closed,2024-01-01,2024-10-07
ACC00313,CUST00742,Savings,Bhopal Branch,Closed,2025-01-15,2025-07-29
ACC00314,CUST00260,Salary,Raipur Branch,Open,2025-11-23,
ACC00315,CUST00490,NRI,Raipur Branch,Open,2019-09-23,
ACC00316,CUST00441,NRI,Lucknow Branch,Open,2025-03-22,
ACC00317,CUST00495,NRI,Bhopal Branch,Open,2023-06-28,
ACC00318,CUST00349,NRI,Kochi Branch,Open,2025-09-23,
ACC00319,CUST00630,Current,Patna Branch,Open,2024-12-25,
ACC00320,CUST00324,Savings,Bhopal Branch,Open,2025-06-03,
ACC00321,CUST00650,Current,Guwahati Branch,Closed,2019-07-10,2022-09-15
ACC00322,CUST00426,NRI,Raipur Branch,Open,2021-01-28,
ACC00323,CUST00687,NRI,Jaipur Branch,Open,2025-10-08,
ACC00324,CUST00715,NRI,Kolkata Branch,Open,2020-04-14,
ACC00325,CUST00190,Savings,Chennai Branch,Open,2020-12-12,
ACC00326,CUST00025,Current,Kochi Branch,Closed,2025-07-11,2025-09-18
ACC00327,CUST00725,NRI,Lucknow Branch,Open,2024-05-27,
ACC00328,CUST00349,NRI,Kochi Branch,Open,2025-03-30,
ACC00329,CUST00101,Savings,Hyderabad Branch,Open,2025-03-12,
ACC00330,CUST00791,Salary,Kolkata Branch,Open,2022-07-08,
ACC00331,CUST00176,Current,Lucknow Branch,Open,2025-07-07,
ACC00332,CUST00154,Salary,Surat Branch,Closed,2022-10-29,2023-03-15
ACC00333,CUST00100,Savings,Pune Branch,Open,2024-06-25,
ACC00334,CUST00764,Current,Jaipur Branch,Open,2025-01-06,
ACC00335,CUST00747,NRI,Chennai Branch,Open,2022-08-17,
ACC00336,CUST00507,Savings,Bengaluru Branch,Open,2021-12-18,
ACC00337,CUST00391,Current,Bhubaneswar Branch,Open,2025-04-12,
ACC00338,CUST00667,NRI,Kochi Branch,Open,2020-06-26,
ACC00339,CUST00164,Current,Hyderabad Branch,Closed,2024-05-21,2025-05-11
ACC00340,CUST00779,NRI,Hyderabad Branch,Open,2023-05-05,
ACC00341,CUST00315,Salary,Surat Branch,Open,2023-09-28,
ACC00342,CUST00729,Savings,Patna Branch,Closed,2025-04-17,2025-06-09
ACC00343,CUST00289,NRI,Pune Branch,Open,2024-01-25,
ACC00344,CUST00234,Current,Kolkata Branch,Open,2025-11-03,
ACC00345,CUST00747,NRI,Chennai Branch,Open,2023-08-01,
ACC00346,CUST00678,NRI,Bhubaneswar Branch,Open,2019-11-04,
ACC00347,CUST00615,NRI,Pune Branch,Open,2024-06-25,
ACC00348,CUST00693,Savings,Kolkata Branch,Open,2025-02-25,
ACC00349,CUST00637,Savings,Surat Branch,Closed,2025-05-21,2025-10-06
ACC00350,CUST00352,NRI,Jaipur Branch,Open,2023-06-16,
ACC00351,CUST00298,Savings,Ahmedabad Branch,Open,2024-02-21,
ACC00352,CUST00240,Salary,Hyderabad Branch,Open,2025-08-04,
ACC00353,CUST00587,Current,Chennai Branch,Closed,2024-11-07,2025-09-21
ACC00354,CUST00455,NRI,Patna Branch,Open,2023-10-03,
ACC00355,CUST00121,Salary,Jaipur Branch,Closed,2024-12-07,2025-10-25
ACC00356,CUST00094,Current,Lucknow Branch,Open,2025-09-22,
ACC00357,CUST00545,Salary,Patna Branch,Open,2023-02-25,
ACC00358,CUST00529,NRI,Delhi Branch,Open,2024-02-21,
ACC00359,CUST00610,Salary,Jaipur Branch,Open,2024-07-20,
ACC00360,CUST00296,Savings,Bhopal Branch,Open,2020-07-30,
ACC00361,CUST00166,Current,Hyderabad Branch,Open,2024-11-07,
ACC00362,CUST00114,Salary,Ahmedabad Branch,Open,2023-10-21,
ACC00363,CUST00464,Salary,Ahmedabad Branch,Open,2024-02-16,
ACC00364,CUST00523,Salary,Hyderabad Branch,Open,2024-08-14,
ACC00365,CUST00179,Savings,Chennai Branch,Open,2023-12-26,
ACC00366,CUST00554,NRI,Chennai Branch,Closed,2025-05-15,2025-06-27
ACC00367,CUST00197,NRI,Bhopal Branch,Open,2025-11-06,
ACC00368,CUST00416,Current,Pune Branch,Open,2021-12-24,
ACC00369,CUST00577,NRI,Patna Branch,Open,2023-07-14,
ACC00370,CUST00224,Current,Guwahati Branch,Open,2025-03-29,
ACC00371,CUST00547,Savings,Raipur Branch,Open,2025-01-03,
ACC00372,CUST00251,Savings,Chandigarh Branch,Open,2023-04-01,
ACC00373,CUST00344,Savings,Kochi Branch,Closed,2024-08-06,2025-11-23
ACC00374,CUST00292,NRI,Hyderabad Branch,Open,2025-06-13,
ACC00375,CUST00068,Current,Patna Branch,Open,2025-03-30,
ACC00376,CUST00543,Savings,Kochi Branch,Closed,2024-05-07,2025-02-02
ACC00377,CUST00069,Savings,Bengaluru Branch,Open,2023-11-17,
ACC00378,CUST00484,NRI,Kolkata Branch,Open,2025-09-20,
ACC00379,CUST00441,NRI,Lucknow Branch,Open,2024-03-24,
ACC00380,CUST00039,Current,Ahmedabad Branch,Closed,2023-10-22,2024-12-19
